Id,Category
1,7
2,8
3,9
4,6
5,9
6,9
7,3
8,9
9,4
10,9
11,2
12,0
13,1
14,2
15,6
16,2
17,9
18,5
19,4
20,9
21,3
22,6
23,4
24,4
25,6
26,9
27,0
28,4
29,6
30,0
31,0
32,5
33,9
34,5
35,2
36,7
37,1
38,4
39,4
40,2
41,3
42,9
43,8
44,3
45,8
46,2
47,1
48,8
49,9
50,3
51,5
52,7
53,2
54,0
55,2
56,3
57,5
58,9
59,1
60,3
61,2
62,2
63,3
64,1
65,8
66,3
67,8
68,0
69,6
70,8
71,6
72,0
73,1
74,0
75,1
76,0
77,9
78,4
79,3
80,3
81,1
82,8
83,0
84,7
85,0
86,2
87,1
88,4
89,8
90,5
91,4
92,5
93,4
94,6
95,0
96,8
97,4
98,7
99,8
100,7
101,9
102,8
103,6
104,8
105,8
106,4
107,8
108,4
109,7
110,4
111,7
112,4
113,8
114,8
115,7
116,6
117,9
118,4
119,2
120,7
121,9
122,8
123,0
124,8
125,0
126,0
127,2
128,1
129,8
130,6
131,9
132,2
133,1
134,1
135,9
136,2
137,2
138,0
139,4
140,4
141,1
142,9
143,3
144,9
145,1
146,9
147,3
148,8
149,5
150,1
151,8
152,3
153,0
154,2
155,2
156,3
157,2
158,6
159,7
160,0
161,2
162,7
163,1
164,0
165,2
166,9
167,3
168,3
169,7
170,5
171,2
172,3
173,7
174,1
175,0
176,2
177,2
178,1
179,1
180,4
181,2
182,9
183,3
184,1
185,2
186,7
187,8
188,4
189,8
190,2
191,4
192,1
193,2
194,4
195,8
196,3
197,0
198,1
199,5
200,3
201,1
202,8
203,9
204,5
205,7
206,6
207,3
208,9
209,4
210,8
211,9
212,1
213,0
214,5
215,8
216,6
217,5
218,2
219,7
220,6
221,6
222,6
223,6
224,4
225,4
226,3
227,9
228,4
229,2
230,9
231,2
232,1
233,2
234,4
235,5
236,9
237,1
238,8
239,2
240,5
241,0
242,9
243,5
244,0
245,7
246,2
247,9
248,0
249,7
250,5
251,0
252,1
253,8
254,2
255,5
256,5
257,3
258,1
259,3
260,0
261,0
262,8
263,9
264,1
265,4
266,4
267,0
268,0
269,5
270,2
271,1
272,3
273,8
274,0
275,8
276,3
277,3
278,5
279,1
280,8
281,4
282,4
283,4
284,8
285,8
286,9
287,5
288,9
289,4
290,2
291,7
292,9
293,4
294,2
295,6
296,0
297,2
298,9
299,0
300,6
301,6
302,5
303,3
304,8
305,7
306,3
307,8
308,3
309,8
310,5
311,7
312,8
313,7
314,9
315,8
316,7
317,8
318,4
319,9
320,5
321,7
322,6
323,7
324,0
325,8
326,8
327,8
328,0
329,7
330,6
331,7
332,9
333,2
334,6
335,6
336,3
337,3
338,1
339,8
340,2
341,0
342,3
343,6
344,3
345,0
346,6
347,8
348,4
349,9
350,5
351,3
352,7
353,0
354,9
355,7
356,9
357,1
358,2
359,8
360,5
361,6
362,3
363,2
364,6
365,3
366,0
367,5
368,8
369,8
370,1
371,6
372,8
373,0
374,4
375,4
376,3
377,2
378,9
379,9
380,1
381,4
382,8
383,9
384,0
385,8
386,9
387,6
388,8
389,5
390,0
391,1
392,4
393,9
394,3
395,2
396,5
397,3
398,2
399,0
400,3
401,2
402,3
403,0
404,0
405,7
406,8
407,2
408,2
409,7
410,3
411,8
412,7
413,6
414,9
415,1
416,3
417,6
418,5
419,9
420,9
421,3
422,2
423,8
424,0
425,3
426,3
427,9
428,1
429,0
430,4
431,0
432,5
433,5
434,6
435,8
436,6
437,2
438,2
439,0
440,8
441,5
442,0
443,4
444,2
445,7
446,7
447,2
448,6
449,6
450,3
451,5
452,9
453,5
454,3
455,1
456,5
457,7
458,9
459,3
460,5
461,6
462,3
463,4
464,6
465,7
466,7
467,9
468,0
469,2
470,6
471,1
472,7
473,1
474,6
475,1
476,1
477,7
478,6
479,7
480,5
481,4
482,2
483,7
484,8
485,4
486,2
487,5
488,5
489,6
490,1
491,4
492,7
493,5
494,7
495,4
496,4
497,1
498,9
499,9
500,6
501,3
502,4
503,0
504,4
505,7
506,4
507,0
508,8
509,2
510,7
511,8
512,3
513,3
514,5
515,6
516,5
517,7
518,6
519,8
520,3
521,5
522,9
523,0
524,4
525,3
526,8
527,5
528,9
529,7
530,9
531,3
532,9
533,9
534,2
535,0
536,0
537,5
538,4
539,0
540,3
541,7
542,5
543,3
544,5
545,1
546,5
547,3
548,9
549,0
550,5
551,7
552,3
553,0
554,3
555,4
556,8
557,7
558,2
559,8
560,1
561,6
562,9
563,8
564,7
565,8
566,7
567,4
568,4
569,9
570,3
571,5
572,7
573,2
574,3
